Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Financing Type
73324,659 EAST 222 STREET,12/28/2022,01/05/2024,1007124.0,659,EAST 222 STREET,Bronx,10467.0,2048240025.0,2130470.0,BX-12,12,394.0,BX1201,40.886192,-73.863179,40.886381,-73.8629,01/05/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,1.0,2.0,,,,,,,3.0,,3,10,Privately Financed
74137,269 WALLABOUT STREET,11/02/2022,01/05/2024,997430.0,58,UNION AVENUE,Brooklyn,11206.0,3022490023.0,3428618.0,BK-01,33,507.0,BK0103,40.701383,-73.950266,40.701292,-73.949985,01/05/2024,New Construction,No,Non Prevailing Wage,,,,,77.0,,,27.0,24.0,15.0,11.0,,,,77.0,,77,77,Privately Financed
74817,2680 CRESTON AVENUE APARTMENTS,10/26/2023,01/09/2024,1010534.0,2680,CRESTON AVENUE,Bronx,10468.0,2033140011.0,2129661.0,BX-07,14,40304.0,BX0702,40.867249,-73.894962,40.867021,-73.894865,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,53.0,,,39.0,14.0,,,,,,53.0,,53,54,Privately Financed
73732,1554 AND 1556 NEW YORK AVE,01/31/2023,01/09/2024,1007557.0,1556,NEW YORK AVENUE,Brooklyn,11210.0,3050070068.0,3114056.0,BK-17,45,78602.0,BK1702,40.634951,-73.944972,40.634809,-73.945268,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,1.0,2.0,,,,,,,3.0,,3,9,Privately Financed
73732,1554 AND 1556 NEW YORK AVE,01/31/2023,01/09/2024,1007631.0,1554,NEW YORK AVENUE,Brooklyn,11210.0,3050070067.0,3429051.0,BK-17,45,78602.0,BK1702,40.634987,-73.944976,40.634864,-73.945275,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,1.0,2.0,,,,,,,3.0,,3,9,Privately Financed
74139,728 ST LAWRENCE AVENUE APARTMENTS,10/13/2022,01/09/2024,110901.0,728,ST LAWRENCE AVENUE,Bronx,10473.0,2035970025.0,2022128.0,BX-09,18,38.0,BX0902,40.82006,-73.86455,40.820397,-73.864351,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,,3.0,,,,,,,3.0,,3,8,Privately Financed
63774,ST. FRANCIS,06/24/2021,01/09/2024,997258.0,1544,SHAKESPEARE AVENUE,Bronx,10452.0,2028720148.0,2129668.0,BX-05,14,21301.0,BX0501,40.845717,-73.919234,40.845725,-73.918937,01/09/2024,New Construction,No,Non Prevailing Wage,42.0,24.0,49.0,,,1.0,28.0,47.0,35.0,6.0,,,,,116.0,,116,116,HPD Financed
75390,1598 EASTERN PARKWAY APARTMENTS,01/10/2024,01/10/2024,287676.0,1598,EASTERN PARKWAY,Brooklyn,11233.0,3014680052.0,3421424.0,BK-16,41,363.0,BK1601,40.67119,-73.915779,40.671167,-73.91504,01/10/2024,New Construction,No,Non Prevailing Wage,,,,,6.0,,,3.0,,3.0,,,,,6.0,,6,19,Privately Financed
75041,CONFIDENTIAL,01/11/2024,01/11/2024,,----,----,Queens,,,,QN-12,27,,,,,,,01/11/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,,1.0,,,,,1.0,1,1,Privately Financed
75048,CONFIDENTIAL,01/11/2024,01/11/2024,,----,----,Manhattan,,,,MN-03,2,,,,,,,01/11/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
69221,963 ATLANTIC AVENUE,06/14/2021,01/16/2024,992730.0,963,ATLANTIC AVENUE,Brooklyn,11238.0,3020190080.0,3429692.0,BK-02,35,227.0,BK0301,40.680263,-73.960337,40.680639,-73.960532,01/16/2024,New Construction,No,Non Prevailing Wage,,,23.0,,15.0,,8.0,23.0,7.0,,,,,,38.0,,38,124,Privately Financed
69813,PFIZER SITE - 34 UNION AVENUE,01/28/2021,01/16/2024,994482.0,34,UNION AVENUE,Brooklyn,11206.0,3022490122.0,3428595.0,BK-01,33,507.0,BK0103,40.700831,-73.950274,40.701051,-73.949981,01/16/2024,New Construction,No,Non Prevailing Wage,,40.0,22.0,15.0,,,,27.0,24.0,15.0,11.0,,,,77.0,,77,77,Privately Financed
75064,CONFIDENTIAL,01/18/2024,01/18/2024,,----,----,Brooklyn,,,,BK-18,46,,,,,,,01/18/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
75065,CONFIDENTIAL,01/19/2024,01/19/2024,,----,----,Bronx,,,,BX-11,13,,,,,,,01/19/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,,,1.0,,,,1.0,1,1,Privately Financed
75067,CONFIDENTIAL,01/24/2024,01/24/2024,,----,----,Brooklyn,,,,BK-15,46,,,,,,,01/24/2024,New Construction,No,Non Prevailing Wage,,1.0,,,,,,1.0,,,,,,,,1.0,1,1,Privately Financed
75069,CONFIDENTIAL,01/25/2024,01/25/2024,,----,----,Staten Island,,,,SI-01,49,,,,,,,01/25/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,1.0,,,,,,1.0,1,1,Privately Financed
64217,MARION + CRESTON NCP,06/29/2021,01/26/2024,59324.0,2861,CRESTON AVENUE,Bronx,10468.0,2033190060.0,2130690.0,BX-07,14,40701.0,BX0702,40.870896,-73.891601,40.871138,-73.891705,01/26/2024,New Construction,No,Non Prevailing Wage,10.0,6.0,9.0,,,,13.0,7.0,5.0,,,,,,25.0,,25,25,Privately Financed
64217,MARION + CRESTON NCP,06/29/2021,01/26/2024,94463.0,2997,MARION AVENUE,Bronx,10458.0,2032810023.0,2129651.0,BX-07,11,415.0,BX0702,40.870006,-73.882617,40.870371,-73.88249,10/31/2023,New Construction,No,Non Prevailing Wage,3.0,4.0,11.0,,,,13.0,5.0,,,,,,,18.0,,18,18,Privately Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,989176.0,1739,LACOMBE AVENUE,Bronx,10473.0,2035150020.0,2129207.0,BX-09,18,2001.0,BX0902,40.814533,-73.86528,40.814652,-73.866205,12/13/2023,New Construction,No,Non Prevailing Wage,,,,8.0,,,,4.0,,4.0,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,989177.0,1735,LACOMBE AVENUE,Bronx,10473.0,2035150020.0,2129208.0,BX-09,18,2001.0,BX0902,40.814525,-73.865335,40.814652,-73.866205,12/27/2023,New Construction,No,Non Prevailing Wage,,,,8.0,,,,4.0,4.0,,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,989178.0,1731,LACOMBE AVENUE,Bronx,10473.0,2035150020.0,2129209.0,BX-09,18,2001.0,BX0902,40.814519,-73.865389,40.814652,-73.866205,12/14/2023,New Construction,No,Non Prevailing Wage,,,,8.0,,,,1.0,7.0,,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,989179.0,1727,LACOMBE AVENUE,Bronx,10473.0,2035150020.0,2129210.0,BX-09,18,2001.0,BX0902,40.814514,-73.865443,40.814652,-73.866205,01/16/2024,New Construction,No,Non Prevailing Wage,,,,8.0,,,,1.0,7.0,,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,989181.0,1723,LACOMBE AVENUE,Bronx,10473.0,2035150020.0,2129204.0,BX-09,18,2001.0,BX0902,40.814509,-73.865493,40.814652,-73.866205,12/15/2023,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,4.0,,,,,,,4.0,4,4,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,989182.0,1719,LACOMBE AVENUE,Bronx,10473.0,2035150020.0,2129206.0,BX-09,18,2001.0,BX0902,40.8145,-73.865548,40.814652,-73.866205,12/13/2023,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,4.0,,,,,,,4.0,4,4,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,996068.0,1715,LACOMBE AVENUE,Bronx,10473.0,2035150001.0,2092605.0,BX-09,18,2001.0,BX0902,40.814487,-73.865674,40.815663,-73.86673,01/26/2024,New Construction,No,Non Prevailing Wage,,,,8.0,,,,4.0,4.0,,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,996069.0,351,BRONX RIVER AVENUE,Bronx,10473.0,2035150020.0,2129205.0,BX-09,18,2001.0,BX0902,40.814447,-73.866801,40.814652,-73.866205,12/13/2023,New Construction,No,Non Prevailing Wage,,,,8.0,,,,5.0,3.0,,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,996070.0,359,BRONX RIVER AVENUE,Bronx,10473.0,2035150020.0,2129212.0,BX-09,18,2001.0,BX0902,40.814483,-73.866928,40.814652,-73.866205,12/13/2023,New Construction,No,Non Prevailing Wage,,,,8.0,,,,4.0,,4.0,,,,,,8.0,8,8,HPD Financed
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,996071.0,355,BRONX RIVER AVENUE,Bronx,10473.0,2035150020.0,2129211.0,BX-09,18,2001.0,BX0902,40.814463,-73.866866,40.814652,-73.866205,12/13/2023,New Construction,No,Non Prevailing Wage,,,,8.0,,,,4.0,,4.0,,,,,,8.0,8,8,HPD Financed
58780,DINSMORE CHESTNUT,12/20/2019,01/30/2024,990171.0,110,DINSMORE PLACE,Brooklyn,11208.0,3041427501.0,3426244.0,BK-05,37,1178.0,BK0501,40.681427,-73.875399,40.681081,-73.875342,07/15/2022,New Construction,No,Non Prevailing Wage,104.0,115.0,55.0,,,1.0,47.0,70.0,101.0,57.0,,,,,275.0,,275,275,HPD Financed
75087,CONFIDENTIAL,01/31/2024,01/31/2024,,----,----,Staten Island,,,,SI-01,49,,,,,,,01/31/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,1.0,,,,,,1.0,1,1,Privately Financed
70562,253 MOTHER GASTON_MIH70552,02/01/2023,02/01/2024,996963.0,253,MOTHER GASTON BOULEVARD,Brooklyn,11212.0,3036750005.0,3083402.0,BK-16,37,908.0,BK1602,40.673201,-73.90777,40.673187,-73.907413,02/01/2024,New Construction,No,Non Prevailing Wage,,2.0,2.0,1.0,,,1.0,2.0,2.0,,,,,,5.0,,5,19,Privately Financed
74579,42 GROVE ST,09/13/2023,02/05/2024,1009767.0,42,GROVE STREET,Brooklyn,11221.0,3033210019.0,3076032.0,BK-04,37,397.0,BK0402,40.691396,-73.922641,40.691226,-73.922522,02/05/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,,3.0,,,,,,,3.0,,3,7,Privately Financed
74199,514 HERKIMER STREET,05/10/2023,02/05/2024,988070.0,514,HERKIMER STREET,Brooklyn,11213.0,3017050039.0,3048075.0,BK-03,36,271.0,BK0302,40.678919,-73.936482,40.678567,-73.936496,02/05/2024,New Construction,No,Non Prevailing Wage,,,,,5.0,,,5.0,,,,,,,5.0,,5,15,Privately Financed
73674,1135 TELLER AVENUE,03/20/2023,02/05/2024,112760.0,1137,TELLER AVENUE,Bronx,10456.0,2024340070.0,2000000.0,BX-04,16,175.0,BX0401,40.830737,-73.912527,40.830726,-73.91282,02/05/2024,New Construction,No,Non Prevailing Wage,,,,,43.0,,,28.0,15.0,,,,,,43.0,,43,44,Privately Financed
73692,1412 COLLEGE AVENUE APARTMENTS,03/14/2023,02/06/2024,57860.0,1412,COLLEGE AVENUE,Bronx,10456.0,2027840003.0,2007236.0,BX-04,16,225.0,BX0403,40.837827,-73.910393,40.837813,-73.910049,02/06/2024,New Construction,No,Non Prevailing Wage,,,,,5.0,,2.0,3.0,,,,,,,5.0,,5,16,Privately Financed
72227,SILVER POINT 43-20 52ND STREET APARTMENTS,12/02/2021,02/06/2024,441530.0,43-20,52 STREET,Queens,11377.0,4013207503.0,4030858.0,QN-02,26,25302.0,QN0202,40.743731,-73.912584,40.743397,-73.912844,02/06/2024,New Construction,No,Non Prevailing Wage,,,,,5.0,,,,5.0,,,,,,5.0,,5,14,Privately Financed
75235,CONFIDENTIAL,02/07/2024,02/07/2024,,----,----,Manhattan,,,,MN-07,7,,,,,,,02/07/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,1.0,,,,,,,,1.0,1,1,Privately Financed
73305,2057 STRAUSS STREET,08/04/2022,02/07/2024,378166.0,2057,STRAUSS STREET,Brooklyn,11212.0,3035550007.0,3429436.0,BK-16,41,898.0,BK1602,40.663786,-73.915042,40.663773,-73.914761,02/07/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,,3.0,,,,,,,3.0,,3,9,Privately Financed
75236,CONFIDENTIAL,02/16/2024,02/16/2024,,----,----,Brooklyn,,,,BK-14,45,,,,,,,02/16/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,1.0,,,,,,,,,1.0,1,1,Privately Financed
74645,1315 FINDLAY AVENUE,07/26/2023,02/16/2024,78328.0,1315,FINDLAY AVENUE,Bronx,10456.0,2027830070.0,2007211.0,BX-04,16,17702.0,BX0403,40.835459,-73.910779,40.835495,-73.911057,02/16/2024,New Construction,No,Non Prevailing Wage,,,,,18.0,,14.0,4.0,,,,,,,18.0,,18,19,Privately Financed
68747,88 EAST 127TH STREET,02/03/2022,02/22/2024,991167.0,88,EAST 126 STREET,Manhattan,10035.0,,,MN-11,9,198.0,MN1102,40.805955,-73.939106,,,02/22/2024,New Construction,No,Non Prevailing Wage,,32.0,,,8.0,,15.0,9.0,16.0,,,,,,40.0,,40,160,Privately Financed
75237,CONFIDENTIAL,02/23/2024,02/23/2024,,----,----,Brooklyn,,,,BK-02,35,,,,,,,02/23/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
74235,1311 MORRIS AVENUE APARTMENTS,06/06/2023,02/26/2024,97367.0,1311,MORRIS AVENUE,Bronx,10456.0,2028160065.0,2007803.0,BX-04,16,17902.0,BX0403,40.836072,-73.912459,40.836051,-73.912809,02/26/2024,New Construction,No,Non Prevailing Wage,,,,,19.0,,15.0,4.0,,,,,,,19.0,,19,20,Privately Financed
73719,584 4TH AVE,02/08/2023,02/26/2024,129340.0,584,4 AVENUE,Brooklyn,11215.0,3010510039.0,3024085.0,BK-07,38,117.0,BK0601,40.665827,-73.992513,40.66584,-73.992939,02/26/2024,New Construction,No,Non Prevailing Wage,,,,,14.0,,1.0,10.0,3.0,,,,,,14.0,,14,46,Privately Financed
73791,810 EAST 165TH STREET,01/06/2022,02/26/2024,1007883.0,810,EAST 165 STREET,Bronx,10459.0,2026780027.0,2129621.0,BX-03,17,12901.0,BX0202,40.824321,-73.900923,40.82417,-73.901114,02/26/2024,New Construction,No,Non Prevailing Wage,,,,,2.0,,,2.0,,,,,,,2.0,,2,6,Privately Financed
73678,92 WEST 169 STREET APARTMENTS,03/15/2023,02/27/2024,839351.0,92,WEST 169 STREET,Bronx,10452.0,2025170028.0,2127053.0,BX-04,16,211.0,BX0402,40.839533,-73.923209,40.839294,-73.923376,02/27/2024,New Construction,No,Non Prevailing Wage,,,,,12.0,,6.0,4.0,2.0,,,,,,12.0,,12,38,Privately Financed
74991,2001 CRESTON AVENUE APARTMENTS,11/08/2023,02/28/2024,1010901.0,2001,CRESTON AVENUE,Bronx,10453.0,2028070079.0,2129667.0,BX-05,14,241.0,BX0502,40.851487,-73.905986,40.851665,-73.906058,02/28/2024,New Construction,No,Non Prevailing Wage,,,,,48.0,,4.0,23.0,17.0,,4.0,,,,48.0,,48,49,Privately Financed
74564,3308 GLENWOOD ROAD APARTMENTS,09/21/2023,02/28/2024,1010117.0,3308,GLENWOOD ROAD,Brooklyn,11210.0,3075610041.0,3000000.0,BK-17,45,784.0,BK1702,40.634183,-73.944678,40.633947,-73.944429,02/28/2024,New Construction,No,Non Prevailing Wage,,,,,12.0,,,7.0,5.0,,,,,,12.0,,12,38,Privately Financed
68797,445 GERARD AVENUE,12/31/2020,02/28/2024,991233.0,445,GERARD AVENUE,Bronx,10451.0,2023510012.0,2129137.0,BX-01,8,6301.0,BX0401,40.817398,-73.929872,40.817544,-73.930096,02/28/2024,New Construction,No,Non Prevailing Wage,,,71.0,,,,2.0,49.0,20.0,,,,,,71.0,,71,338,Privately Financed
69330,414 GERARD AVENUE,12/31/2020,02/28/2024,993841.0,414,GERARD AVENUE,Bronx,10451.0,2023500001.0,2001084.0,BX-01,17,6301.0,BX0401,40.817116,-73.929962,40.817261,-73.929568,02/28/2024,New Construction,No,Non Prevailing Wage,,,43.0,,19.0,,,38.0,24.0,,,,,,62.0,,62,206,Privately Financed
75238,CONFIDENTIAL,02/29/2024,02/29/2024,,----,----,Bronx,,,,BX-10,13,,,,,,,02/29/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,1.0,,,,,,,,1.0,1,1,Privately Financed
63026,LOS SURES. 11-23 MONTIETH ST. RHEINGOLD,09/29/2021,02/29/2024,974198.0,2025-11-23T00:00:00.000,MONTIETH STREET,Brooklyn,11206.0,3031390030.0,3000000.0,BK-04,34,391.0,BK0401,40.701439,-73.936255,40.701692,-73.936056,02/29/2024,New Construction,No,Prevailing Wage,93.0,,,,,1.0,54.0,39.0,1.0,,,,,,94.0,,94,94,HPD Financed
64436,1755 WATSON AVENUE,06/21/2018,02/29/2024,1012932.0,1120,ROSEDALE AVENUE,Bronx,10472.0,2037517501.0,2024208.0,BX-09,18,70.0,BX0901,40.828084,-73.868368,40.828004,-73.867869,11/03/2021,New Construction,No,Non Prevailing Wage,28.0,31.0,75.0,,,1.0,26.0,48.0,55.0,6.0,,,,,135.0,,135,135,HPD Financed
64436,1755 WATSON AVENUE,06/21/2018,02/29/2024,1012933.0,1111,COMMONWEALTH AVENUE,Bronx,10472.0,2037517501.0,2024208.0,BX-09,18,70.0,BX0901,40.82802,-73.867385,40.828004,-73.867869,11/03/2021,New Construction,No,Non Prevailing Wage,23.0,32.0,67.0,,,1.0,27.0,50.0,29.0,17.0,,,,,123.0,,123,123,HPD Financed
64436,1755 WATSON AVENUE,06/21/2018,02/29/2024,1012934.0,1755,WATSON AVENUE,Bronx,10472.0,2037517501.0,2024208.0,BX-09,18,70.0,BX0901,40.827537,-73.867455,40.828004,-73.867869,02/29/2024,New Construction,No,Non Prevailing Wage,15.0,18.0,35.0,,,,30.0,38.0,,,,,,,68.0,,68,68,HPD Financed
73736,2441 CROTONA AVENUE APARTMENTS,01/16/2023,03/04/2024,1008796.0,2441,CROTONA AVENUE,Bronx,10458.0,2031050041.0,2130595.0,BX-06,15,389.0,BX0603,40.855034,-73.883074,40.855463,-73.883275,03/04/2024,New Construction,No,Non Prevailing Wage,,,,,17.0,,3.0,12.0,1.0,1.0,,,,,17.0,,17,50,Privately Financed
69230,55 SUFFOLK STREET,12/23/2020,03/05/2024,994593.0,55,SUFFOLK STREET,Manhattan,10002.0,1003467505.0,1091600.0,MN-03,1,1402.0,MN0302,40.71695,-73.987158,40.716953,-73.987497,03/05/2024,New Construction,No,Non Prevailing Wage,,74.0,,21.0,,,32.0,42.0,20.0,1.0,,,,,95.0,,95,378,Privately Financed
75288,CONFIDENTIAL,03/08/2024,03/08/2024,,----,----,Queens,,,,QN-07,20,,,,,,,03/08/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,1.0,,,,,,,,1.0,1,1,Privately Financed
75289,CONFIDENTIAL,03/08/2024,03/08/2024,,----,----,Manhattan,,,,MN-03,2,,,,,,,03/08/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
73213,42-41 JUDGE STREET APARTMENTS,08/09/2022,03/14/2024,1008831.0,42-41,JUDGE STREET,Queens,11373.0,4015160044.0,4037468.0,QN-04,25,27101.0,QN0401,40.744144,-73.880096,40.744199,-73.879692,03/14/2024,New Construction,No,Non Prevailing Wage,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,3.0,,3,10,Privately Financed
75297,CONFIDENTIAL,03/15/2024,03/15/2024,,----,----,Brooklyn,,,,BK-16,41,,,,,,,03/15/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,1.0,,,,,,1.0,1,1,Privately Financed
74929,26-12 4TH STREET,09/05/2023,03/15/2024,1011370.0,26-12,4 STREET,Queens,11102.0,4009100027.0,4000000.0,QN-01,22,87.0,QN0102,40.775823,-73.932808,40.775848,-73.933118,03/15/2024,New Construction,No,Non Prevailing Wage,,,,,7.0,,,7.0,,,,,,,7.0,,7,22,Privately Financed
74649,521 WEST 134TH STREET APARTMENTS,07/24/2023,03/15/2024,1009820.0,521,WEST 134 STREET,Manhattan,10031.0,1019880014.0,1000000.0,MN-09,7,22301.0,MN0902,40.818857,-73.954181,40.819085,-73.954156,03/15/2024,New Construction,No,Non Prevailing Wage,,,,,9.0,,,8.0,1.0,,,,,,9.0,,9,28,Privately Financed
74202,540 GRAHAM AVENUE,04/27/2023,03/19/2024,302221.0,540,GRAHAM AVENUE,Brooklyn,11222.0,3027010001.0,3426408.0,BK-01,33,499.0,BK0101,40.721575,-73.947008,40.721641,-73.946741,03/19/2024,New Construction,No,Non Prevailing Wage,,,,,8.0,,1.0,7.0,,,,,,,8.0,,8,25,Privately Financed
73698,290 LINDEN BOULEVARD APARTMENTS,03/02/2023,03/19/2024,1007968.0,290,LINDEN BOULEVARD,Brooklyn,11226.0,3048680031.0,3428811.0,BK-17,40,818.0,BK1701,40.652709,-73.948392,40.652382,-73.94832,03/19/2024,New Construction,No,Non Prevailing Wage,,,,,10.0,,5.0,5.0,,,,,,,10.0,,10,33,Privately Financed
67125,IMPACCT. 811-817 LEXINGTON AVENUE,05/11/2021,03/19/2024,985619.0,811,LEXINGTON AVENUE,Brooklyn,11221.0,3016227502.0,3044163.0,BK-03,36,387.0,BK0302,40.690269,-73.928498,40.690483,-73.928401,03/19/2024,New Construction,No,Prevailing Wage,63.0,,,,,1.0,63.0,,1.0,,,,,,64.0,,64,64,HPD Financed
75319,CONFIDENTIAL,03/21/2024,03/21/2024,,----,----,Bronx,,,,BX-09,18,,,,,,,03/21/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
70658,278 8TH AVENUE,06/28/2021,03/21/2024,997507.0,278,8 AVENUE,Manhattan,10011.0,1007730001.0,1091035.0,MN-04,3,91.0,MN0401,40.745848,-73.998069,40.745521,-73.997914,03/21/2024,New Construction,No,Non Prevailing Wage,,19.0,25.0,,,,12.0,22.0,9.0,1.0,,,,,44.0,,44,190,Privately Financed
65582,4697 THIRD AVENUE,12/12/2019,03/21/2024,993492.0,4697,3 AVENUE,Bronx,10458.0,2030417501.0,2129313.0,BX-06,15,385.0,BX0603,40.85869,-73.891129,40.858712,-73.891418,03/21/2024,New Construction,No,Non Prevailing Wage,12.0,12.0,28.0,,,1.0,7.0,19.0,20.0,7.0,,,,,53.0,,53,53,HPD Financed
75328,CONFIDENTIAL,03/22/2024,03/22/2024,,----,----,Queens,,,,QN-12,27,,,,,,,03/22/2024,New Construction,No,Non Prevailing Wage,,1.0,,,,,,,,1.0,,,,,,1.0,1,1,Privately Financed
74143,1882 BROADWAY APARTMENTS,09/23/2022,03/22/2024,1005138.0,1882,BROADWAY,Brooklyn,11207.0,3015357503.0,3428937.0,BK-16,37,369.0,BK1601,40.680622,-73.90649,40.680372,-73.906613,03/22/2024,New Construction,No,Non Prevailing Wage,,,,,20.0,,,17.0,3.0,,,,,,20.0,,20,66,Privately Financed
67583,URBAN BLDRS COLLABORATIVE. SUMNER HOUSES,06/29/2021,03/25/2024,998619.0,57,MARCUS GARVEY BOULEVARD,Brooklyn,11206.0,3015800010.0,3428961.0,BK-03,36,28502.0,BK0302,40.697473,-73.940921,40.6975,-73.940503,03/25/2024,New Construction,No,Prevailing Wage,189.0,,,,,1.0,130.0,59.0,1.0,,,,,,190.0,,190,190,HPD Financed
75340,CONFIDENTIAL,03/29/2024,03/29/2024,,----,----,Bronx,,,,BX-12,12,,,,,,,03/29/2024,New Construction,No,Non Prevailing Wage,,1.0,,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
75341,CONFIDENTIAL,03/29/2024,03/29/2024,,----,----,Staten Island,,,,SI-01,49,,,,,,,03/29/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
75358,CONFIDENTIAL,03/29/2024,03/29/2024,,----,----,Queens,,,,QN-04,21,,,,,,,03/29/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,1.0,,,,,,,,1.0,1,1,Privately Financed
75359,CONFIDENTIAL,03/29/2024,03/29/2024,,----,----,Queens,,,,QN-13,31,,,,,,,03/29/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
73196,1998 SECOND AVENUE APARTMENTS,03/07/2022,04/01/2024,1140.0,1998,2 AVENUE,Manhattan,10029.0,1016740049.0,1052673.0,MN-11,8,164.0,MN1101,40.788616,-73.943899,40.788298,-73.943744,04/01/2024,New Construction,No,Non Prevailing Wage,,,,,51.0,,13.0,25.0,10.0,3.0,,,,,51.0,,51,164,Privately Financed
51175,BROOK 156,10/01/2020,04/02/2024,927217.0,740,BROOK AVENUE,Bronx,10451.0,2023607502.0,2129384.0,BX-01,17,71.0,BX0102,40.820013,-73.912017,40.819955,-73.911783,11/21/2022,New Construction,No,Non Prevailing Wage,15.0,14.0,19.0,3.0,,1.0,11.0,19.0,14.0,8.0,,,,,52.0,,52,52,HPD Financed
75406,CONFIDENTIAL,04/04/2024,04/04/2024,,----,----,Bronx,,,,BX-11,13,,,,,,,04/04/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,1.0,,,,,,1.0,1,1,Privately Financed
75445,CONFIDENTIAL,04/04/2024,04/04/2024,,----,----,Brooklyn,,,,BK-12,44,,,,,,,04/04/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,1.0,,,,,,,,,1.0,1,1,Privately Financed
73249,828 NEW YORK AVENUE,10/28/2022,04/04/2024,344032.0,828,NEW YORK AVENUE,Brooklyn,11203.0,3048530060.0,3425679.0,BK-17,40,818.0,BK1701,40.653529,-73.946961,40.653548,-73.947296,04/04/2024,New Construction,No,Non Prevailing Wage,,,,,8.0,,,8.0,,,,,,,8.0,,8,24,Privately Financed
73237,124 WITHERS STREET,10/24/2022,04/04/2024,397565.0,124,WITHERS STREET,Brooklyn,11211.0,3027430020.0,3068278.0,BK-01,34,501.0,BK0104,40.717139,-73.947101,40.716928,-73.947058,04/04/2024,New Construction,No,Non Prevailing Wage,,,,,5.0,,,5.0,,,,,,,5.0,,5,14,Privately Financed
70454,BROOKLYN - 985 PACIFIC STREET_MIH70451,01/21/2022,04/04/2024,996698.0,985,PACIFIC STREET,Brooklyn,11238.0,3011250001.0,3000000.0,BK-08,35,305.0,BK0802,40.679566,-73.960979,40.679855,-73.961314,04/04/2024,New Construction,No,Non Prevailing Wage,,7.0,7.0,,4.0,,3.0,9.0,6.0,,,,,,18.0,,18,69,Privately Financed
