funddwid,projectid,fundname,type,amount
38844,53011,City Capital,Loan,102300
34597,53017,City Capital,Loan,9579212
31939,53077,City Capital,Loan,125333
33534,53077,Reso A,Loan,1000000
30815,53157,City Capital,Loan,13897588
35117,53157,Purchase Money Mortgage,Loan,4169652
36874,53157,Reso A,Loan,550000
37467,53180,City Capital,Loan,10240000
37336,53188,Purchase Money Mortgage,Loan,2263274
38343,53188,City Capital,Loan,2240000
32400,53245,City Capital,Loan,6175000
51644,53264,CDBG-DR,Loan,11100000
33570,53273,City Capital,Loan,8153880
34547,53277,Reso A,Grant,250000
38147,53277,City Capital,Loan,3154223
33781,53461,City Capital,Loan,7698220
30938,53473,City Capital,Loan,2744508
30649,53551,City Capital,Loan,1787586
33572,53580,City Capital,Loan,11775000
35945,53580,Reso A,Loan,2250000
36809,53580,City Capital,Loan,4480000
51452,53655,City Capital,Loan,5642719
58842,53680,City Capital,Loan,30216000
54447,54360,City Capital,Loan,21532000
55623,54360,City Capital,Grant,3795303
51789,54377,Reso A,Loan,3655000
51790,54377,City Capital,Loan,8750000
35358,54407,City Capital,Grant,660000
50383,54520,City Capital,Loan,9100000
50384,54520,City Capital,Loan,16350000
30601,54709,City Capital,Loan,3918285
36505,54842,City Capital,Loan,11178855
36064,54909,City Capital,Loan,17541867
50652,54954,Reso A,Loan,650000
50653,54954,City Capital,Loan,2250000
50654,54954,City Capital,Loan,9750000
32789,54984,City Capital,Loan,673906
36078,55026,City Capital,Loan,2267410
30874,55036,City Capital,Loan,2805000
38371,55036,City Capital,Loan,6225000
30637,55050,City Capital,Loan,11222000
30913,55050,Reso A,Loan,600000
39043,55050,421-a Fund,Loan,1078000
49176,55073,CDBG-DR,Loan,22517300.03
54413,55216,CDBG-DR,Loan,55000000
37413,55219,City Capital,Loan,1612930
51809,55223,Reso A,Loan,4000000
51810,55223,City Capital,Loan,9405000
35783,55238,HOME,Loan,1120795
33301,55249,City Capital,Loan,30550000
36332,55249,Reso A,Loan,1000000
37973,55249,City Capital,Loan,6300000
37179,55263,City Capital,Loan,3450000
49433,55264,City Capital,Loan,9000000
49436,55264,City Capital,Loan,5940000
49437,55264,Reso A,Loan,500000
6491,55403,NSP 3,Loan,0
6497,55403,NSP 2,Loan,0
6482,55403,Reso A,Loan,0
6479,55403,City Capital,Loan,0
6488,55403,NSP 1,Loan,0
6494,55403,BPCA,Loan,0
6476,55403,HOME,Loan,0
5713,55431,HOME,Loan,0
6061,55431,NSP 2,Loan,0
6299,55431,BPCA,Loan,0
5887,55431,Reso A,Loan,0
5646,55431,NSP 1,Loan,0
5800,55431,City Capital,Loan,0
6212,55431,NSP 3,Loan,0
5640,55433,NSP 1,Loan,0
6206,55433,NSP 3,Loan,0
6293,55433,BPCA,Loan,0
5707,55433,HOME,Loan,0
5794,55433,City Capital,Loan,0
6055,55433,NSP 2,Loan,0
5881,55433,Reso A,Loan,0
5882,55464,Reso A,Loan,0
5641,55464,NSP 1,Loan,0
6294,55464,BPCA,Loan,0
5708,55464,HOME,Loan,0
5795,55464,City Capital,Loan,0
6207,55464,NSP 3,Loan,0
6056,55464,NSP 2,Loan,0
5844,55467,City Capital,Loan,0
6343,55467,BPCA,Loan,0
5603,55467,NSP 2,Loan,0
5757,55467,HOME,Loan,0
6256,55467,NSP 3,Loan,0
5931,55467,Reso A,Loan,0
5690,55467,NSP 1,Loan,0
5709,55479,HOME,Loan,0
6208,55479,NSP 3,Loan,0
6057,55479,NSP 2,Loan,0
6295,55479,BPCA,Loan,0
5883,55479,Reso A,Loan,0
5642,55479,NSP 1,Loan,0
5796,55479,City Capital,Loan,0
35441,57533,Reso A,Loan,800000
35955,57533,City Capital,Loan,2829201
49355,57536,CDBG-DR,Loan,3495994
32090,57668,Reso A,Loan,3000000
33627,57668,City Capital,Loan,13050000
33098,57702,CDBG-DR,Grant,324056
33118,57772,City Capital,Loan,11922749
36202,57772,HOME,Loan,152251
30585,58015,City Capital,Loan,13510000
34592,58235,City Capital,Loan,5687457
39267,58302,City Capital,Loan,464506
