funddwid,projectid,fundname,type,amount
68715,67998,Reso A,Loan,1500000
60804,68080,City Capital,Loan,18112849
60818,68080,Reso A,Grant,2000000
65800,68108,City Capital,Grant,21247196
69112,68119,City Capital,Loan,2814168
62332,68125,Reso A,Loan,750000
62344,68125,City Capital,Loan,11755000
62291,68132,HOME,Loan,12828425
60016,68188,City Capital,Grant,9137645
59970,68192,City Capital,Loan,2354021
61953,68196,City Capital,Loan,5600000
60180,68210,City Capital,Loan,14241596
72342,68223,HOME,Loan,10016215
70605,68223,Reso A,Loan,1000000
72347,68223,CDBG,Loan,4500000
71058,68250,City Capital,Loan,20760119
68863,68258,Reso A,Loan,500000
68865,68258,City Capital,Loan,12593659
71586,68264,City Capital,Loan,23712464
62067,68296,City Capital,Loan,18290000
62052,68351,City Capital,Loan,7794700
60394,68387,City Capital,Loan,394103
62058,68405,City Capital,Loan,7471272
68119,68426,HOME,Loan,12730000
59908,68432,City Capital,Loan,9791548
59911,68433,City Capital,Loan,1339529
59910,68434,City Capital,Loan,1427855
66961,68458,City Capital,Loan,18430237
68253,68462,City Capital,Loan,23857606
68259,68462,Reso A,Loan,1200000
68261,68465,Housing Infrastructure Fund,Loan,30368225
66111,68467,City Capital,Loan,14484149
66101,68467,Reso A,Loan,2460000
71658,68482,Reso A,Loan,500000
71650,68482,City Capital,Loan,35794333
62104,68497,City Capital,Loan,6000000
59923,68530,Reso A,Loan,1000000
60657,68542,City Capital,Loan,1950000
63929,68572,City Capital,Loan,6769239
74693,68577,City Capital,Loan,21775164
60030,68665,Reso A,Grant,3500000
63703,68665,City Capital,Grant,18400000
59941,68726,City Capital,Loan,4740533
59925,68733,Reso A,Loan,434914.92
62377,68741,City Capital,Loan,30551596
69533,68751,Reso A,Loan,3685000
59964,68751,City Capital,Loan,231788
66948,68766,City Capital,Loan,14500000
70646,68772,Reso A,Loan,3798000
70654,68772,City Capital,Loan,19797384
71116,68779,City Capital,Loan,53260230
71117,68779,Reso A,Loan,1000000
61052,68781,City Capital,Loan,7156530
60018,68782,City Capital,Loan,22400000
61100,68782,Reso A,Loan,1600000
66333,68803,City Capital,Loan,15987131
59928,68810,City Capital,Loan,3290309
67155,68815,Reso A,Grant,150000
63300,68831,City Capital,Loan,16355028
62859,68832,City Capital,Loan,21150000
67742,68833,City Capital,Loan,79547455
72022,68854,Reso A,Loan,1700000
72030,68854,City Capital,Loan,47119664
62412,68867,City Capital,Loan,3600000
60207,68890,Reso A,Loan,290000
63079,68890,City Capital,Loan,1660000
67139,68944,City Capital,Loan,3569419
61077,68962,Reso A,Grant,7950000
61078,68962,City Capital,Loan,2929139
63973,68968,City Capital,Loan,8031204
66459,69099,HOME,Loan,6575000
66460,69099,CDBG,Loan,4400000
66472,69099,Reso A,Loan,1000000
63698,69140,City Capital,Loan,23575000
64214,69178,City Capital,Loan,3702769
62065,69182,City Capital,Loan,20461940
71940,69183,Reso A,Loan,500000
71954,69183,City Capital,Loan,41955740
71161,69196,HOME,Loan,18571451
66280,69217,City Capital,Loan,29904464
65812,69218,City Capital,Loan,6958318
62888,69246,City Capital,Loan,20894381
66877,69259,Reso A,Loan,1000000
66895,69259,City Capital,Loan,31421836
61264,69280,City Capital,Loan,2038745
67829,69287,City Capital,Grant,14130451
62080,69305,City Capital,Loan,1137500
66430,69325,City Capital,Loan,17100000
64035,69402,City Capital,Loan,12917447
69512,69435,City Capital,Loan,7876897
69516,69435,Reso A,Loan,1000000
61064,69439,City Capital,Loan,1161493
66818,69440,Reso A,Loan,250000
63070,69441,City Capital,Loan,1000000
67439,69505,City Capital,Loan,14639000
67442,69505,Reso A,Loan,500000
65829,69542,City Capital,Loan,8363992
69619,69565,HOME,Loan,13573326
68876,69565,Reso A,Loan,1500000
65996,69567,City Capital,Loan,10536506
63682,69591,City Capital,Loan,27368079
61199,69611,City Capital,Loan,30490397
76393,69611,Reso A,Loan,2000000
66129,69619,HOME,Grant,1807262
65194,69620,City Capital,Loan,32637500
63965,69633,City Capital,Loan,10684225
68620,69647,Reso A,Loan,500000
67432,69677,City Capital,Loan,54955602
64566,69689,City Capital,Loan,12060000
73549,69758,City Capital,Loan,12986490
62984,69763,City Capital,Loan,1089704
62981,69765,City Capital,Loan,2371894
62995,69766,City Capital,Loan,1473549
63519,69767,City Capital,Loan,744890
71745,69816,City Capital,Loan,52649048
70014,69850,City Capital,Loan,19000000
61952,69850,Reso A,Loan,1250000
63095,69862,HOME,Loan,9227050
64280,69863,City Capital,Loan,5325903
68083,69863,Reso A,Loan,400000
61671,69877,Reso A,Loan,6458915
69173,69879,City Capital,Loan,2202092
68858,69910,City Capital,Loan,1930760
67712,69911,City Capital,Loan,13717435
72438,69926,HOME,Loan,3041614
65745,70082,City Capital,Loan,22540000
64377,70170,City Capital,Loan,7603632
69601,70171,City Capital,Loan,19487346
70035,70187,City Capital,Loan,26956668
63187,70217,City Capital,Loan,2946972
67841,70276,City Capital,Loan,4814702.55
68940,70450,City Capital,Loan,22109709
71247,70466,City Capital,Grant,16994323
71255,70466,Reso A,Grant,250000
72198,70483,Reso A,Loan,1500000
72204,70483,City Capital,Loan,15598795
73042,70589,City Capital,Loan,11915306
63370,70595,City Capital,Grant,7757594
63410,70652,Reso A,Loan,3780000
70736,70670,City Capital,Loan,15110196
67207,70725,City Capital,Loan,18620000
67208,70725,Reso A,Loan,4533000
66448,70746,City Capital,Loan,15034400
67865,70803,City Capital,Loan,120000
68972,70816,Reso A,Loan,700000
68973,70816,City Capital,Loan,12420000
66797,70834,City Capital,Loan,29267486
65229,70891,City Capital,Loan,40373027
63196,70938,City Capital,Loan,13147416
63198,70938,Reso A,Grant,1000000
63567,71002,City Capital,Loan,4301333
65351,71027,City Capital,Loan,1786165
65291,71215,Reso A,Loan,7208915
67882,71445,City Capital,Loan,13562000
67129,71469,Reso A,Grant,150000
73247,71513,Reso A,Loan,1300000
73255,71513,City Capital,Loan,7623451
69049,71541,HOME,Loan,14116609
69055,71541,City Capital,Loan,1453325
69056,71541,Reso A,Loan,1500000
68383,71703,HOME,Loan,11000000
68342,71703,City Capital,Loan,8364541
66766,71720,City Capital,Loan,2639211
73104,71765,City Capital,Loan,44954917
73073,71765,Reso A,Loan,1000000
69557,71774,City Capital,Loan,61324954
67628,71798,City Capital,Grant,519408
65922,71899,Reso A,,1500000
68666,71950,City Capital,Loan,46661634
71527,71950,Reso A,Loan,300000
69993,72051,HOME,Loan,6202289
66439,72124,City Capital,Loan,899392
69824,72140,Reso A,Grant,1500000
67652,72160,City Capital,Loan,29142000
72131,72412,City Capital,Loan,35161164
68606,72453,Reso A,Grant,725000
68614,72453,City Capital,Loan,839953
73082,72693,City Capital,Loan,11819774
70107,72697,City Capital,Grant,14645804
70963,72698,City Capital,Grant,33885322
67377,72709,City Capital,Loan,14295153
70222,72764,City Capital,Loan,4141808
67668,72771,City Capital,Loan,6050585
72583,73229,HOME,Loan,11575000
72535,73229,Reso A,Loan,700000
71503,73473,City Capital,Loan,2380809
71476,73474,City Capital,Loan,2429356
76263,73540,City Capital,Loan,29997297
76273,73540,Reso A,Loan,600000
72082,73549,City Capital,Loan,47110518
75126,73566,City Capital,Loan,96232830
72704,73836,City Capital,Loan,21709191
74239,73913,City Capital,Loan,61668879
73676,74117,City Capital,Loan,5250000
71991,74469,City Capital,Loan,22261465
76458,74500,City Capital,Loan,11072230
72742,74805,City Capital,Loan,57799736
75088,74863,City Capital,Loan,5386274
75514,75241,City Capital,Loan,27876662
75515,75241,Reso A,Loan,1750000
